title,tier,is_retired,diff,time_min,categories,slug,desc
WebStrike,PREMIUM,retired,Easy,30,Network Forensics,webstrike,"Analyze network traffic using Wireshark to investigate a web server compromise, identify web shell deployment, reverse shell communication, and data exfiltration."
PoisonedCredentials,PREMIUM,retired,Easy,30,Network Forensics,poisonedcredentials,"Analyze network traffic for LLMNR/NBT-NS poisoning attacks using Wireshark to identify the rogue machine, compromised accounts, and affected systems."
PsExec Hunt,FREE,retired,Easy,30,Network Forensics,psexec-hunt,"Analyze SMB traffic in a PCAP file using Wireshark to identify PsExec lateral movement, compromised systems, user credentials, and administrative shares."
Oski,FREE,retired,Easy,30,Threat Intel,oski,"Analyze a sandbox report using Any.Run to identify Stealc malware behavior, extract configuration details, and map observed tactics to MITRE ATT&CK."
AzureHunt,PREMIUM,retired,Easy,30,Cloud Forensics,azurehunt,"Correlate Azure AD, Activity, and Blob Storage logs in Elastic Stack to reconstruct an attack timeline, identifying initial access, lateral movement, persistence, and data exfiltration."
The Crime,FREE,retired,Easy,60,Endpoint Forensics,the-crime,"Utilize ALEAPP to analyze Android device artifacts, reconstructing a victim's financial details, movements, and communication patterns."
REvil - GOLD SOUTHFIELD,PREMIUM,retired,Easy,75,Threat Hunting,revil-gold-southfield,"Analyze Sysmon logs in Elastic SIEM to investigate REvil ransomware attack behaviors, decode recovery sabotage commands, and identify IOCs including the C2 onion domain."
Yellow RAT,FREE,retired,Easy,30,Threat Intel,yellow-rat,"Analyze malware artifacts using threat intelligence platforms like VirusTotal to identify IOCs, C2 servers, and understand adversary tactics."
Tomcat Takeover,FREE,retired,Easy,30,Network Forensics,tomcat-takeover,"Analyze network traffic using Wireshark's custom columns, filters, and statistics to identify suspicious web server administration access and potential compromise."
AWSRaid,PREMIUM,retired,Easy,30,Cloud Forensics,awsraid,"Investigate AWS CloudTrail logs using Splunk to identify unauthorized access, analyze configuration changes, and detect persistence mechanisms."
T1110-003,PREMIUM,retired,Easy,0,Threat Hunting,t1110003,
T1598.002 - Dragonfly,PREMIUM,retired,Easy,75,Endpoint Forensics,t1598002-dragonfly,Analyze a spearphishing email to identify social engineering techniques and extract indicators of compromise from its headers and malicious attachment.
T1595,PREMIUM,retired,Easy,45,Network Forensics,t1595,"Analyze the PCAP file to identify malicious activity, using tools like Wireshark to detect threats, IP origins, and attacker techniques."
T1584.004,PREMIUM,retired,Easy,75,Threat Intel,t1584004,"Apply MISP to manage security events, create attributes, and integrate threat intelligence from data feeds."
T1583.002,PREMIUM,retired,Easy,0,Threat Intel,t1583002,"Analyze a malware campaign using MISP to identify communication patterns and extract key indicators of compromise (IOCs), including malware family and file hashes."
RedLine,FREE,retired,Easy,45,Endpoint Forensics,redline,"Employ Volatility to analyze a memory dump, identifying suspicious processes, network IOCs, memory protections, and attacker's command-and-control infrastructure."
PacketDetective,PREMIUM,retired,Easy,50,Network Forensics,packetdetective,Analyze network traffic in PCAP files using Wireshark to extract IOCs and reconstruct attacker tactics like authentication and remote execution.
GrabThePhisher,FREE,retired,Easy,45,Threat Intel,grabthephisher,"Analyze a cryptocurrency phishing kit to identify exfiltration methods, extract critical IOCs, and gather threat actor intelligence using local logs and Telegram APIs."
Lespion,FREE,retired,Easy,30,Threat Intel,lespion,"Investigate an insider threat by analyzing GitHub repositories for exposed credentials, using OSINT tools to correlate online accounts, and performing image analysis to identify locations."
Insider,FREE,retired,Easy,45,Endpoint Forensics,insider,"Analyze Linux disk image artifacts, including logs and Bash history, using FTK Imager to investigate insider threat activities and reconstruct user actions."
MiniFast - UNC1549,PREMIUM,active,Medium,90,Network Forensics,minifast-unc1549,"An aviation contractor's developer installed a database tool from the top search result. Reconstruct the full intrusion from a single capture, from the lure domain through the implant's tasking to the second stage pulled down in cleartext."
Crossed Signals,PREMIUM,active,Medium,120,Endpoint Forensics,crossed-signals,"A routine security audit. A trusted messaging app. By the time the victim realized something was wrong, the damage was already done. Can you trace what happened?"
Maromalix Nightmare,PREMIUM,active,Medium,150,Threat Hunting|Endpoint Forensics,maromalix-nightmare,"A deal was stolen before it was ever signed. Someone got in, found exactly what they needed, and vanished. Your job is to prove it."
Penumbra,PREMIUM,active,Medium,120,Endpoint Forensics,penumbra,"Synthesize diverse forensic artifacts including $MFT, USN journal, and registry hives to reconstruct an anti-forensic intrusion timeline from initial access to exfiltration."
Tax Day - BYOVD,PREMIUM,active,Medium,90,Endpoint Forensics,tax-day-byovd,"Correlate forensic artifacts from event logs, browser history, and prefetch with static analysis using IDA Pro to reconstruct a BYOVD attack chain and defense evasion tactics."
ClickFix - VodkaStealer,PREMIUM,active,Medium,120,Threat Hunting,clickfix-vodkastealer,"Analyze Splunk event logs to reconstruct a multi-stage attack chain, detailing initial access, privilege escalation, lateral movement, and data exfiltration."
CodeFreeze,PREMIUM,active,Medium,150,Endpoint Forensics,codefreeze,"Reconstruct the complete attack timeline by analyzing browser history, event logs, registry, and Git artifacts to identify initial access, persistence, and data exfiltration mechanisms."
Rhadamanthys,PREMIUM,active,Medium,90,Endpoint Forensics,rhadamanthys,"Hunt mail caches, MFT records, and Prefetch to unmask the initial dropper and rebuild the attack timeline."
Shadow Token Symphony - APT29,PREMIUM,active,Medium,150,Cloud Forensics,shadow-token-symphony-apt29,"Synthesize KQL findings across Windows events and Azure logs to reconstruct an APT29 multi-stage cloud attack, identifying persistence mechanisms and data exfiltration."
CallMeOnTheChain - EtherRAT,PREMIUM,retired,Medium,120,Network Forensics,callmeonthechain-etherrat,"Decrypt traffic, decompile smart contracts, and uncover how attackers turned the blockchain into a C2 channel."
Poisoned PyTorch,PREMIUM,retired,Medium,60,Threat Hunting,poisoned-pytorch,"Investigate a software supply-chain compromise that escalates into a ransomware attack, with emphasis on identifying pre-encryption operations."
RaaS Unfold - RansomHub,PREMIUM,active,Medium,90,Threat Intel,raas-unfold-ransomhub,"A ransomware empire built on the ashes of its predecessors — trace its origins, expose its operators, and unfold its playbook."
ConsentStorm,PREMIUM,active,Medium,120,Cloud Forensics,consentstorm,"Investigate a cloud OAuth intrusion by identifying malicious consent grants (Q1-Q4), tracing service-account pivots and Azure enumeration (Q5-Q11), validating persistence through app secrets, TAP abuse, and group changes (Q12-Q17), analyzing file access and exfiltration (Q18-Q19), and mapping tradecraft to ATT&CK and Entra mitigations (Q20-Q25)."
KioskExpo7,PREMIUM,retired,Medium,60,Endpoint Forensics,kioskexpo7,
Stolen Time - HiddenTear,PREMIUM,retired,Medium,180,Threat Hunting,stolen-time-hiddentear,Synthesize and correlate diverse forensic artifacts from multiple systems to reconstruct the complete HiddenTear attack chain and attribute threat actor TTPs.
Perfect Survey,PREMIUM,retired,Medium,120,Threat Hunting,perfect-survey,
Nitrogen - Blackcat Ransomware,PREMIUM,retired,Medium,180,Threat Hunting,nitrogen-blackcat-ransomware,"Reconstruct multi-stage ransomware attack by correlating Splunk telemetry, disk forensics, and registry artifacts to identify persistence mechanisms, credential dumping, and lateral movement."
StarkTech Incident - APT41,PREMIUM,retired,Medium,160,Threat Hunting,starktech-incident-apt41,Reconstruct a multi-stage attack timeline by analyzing Sysmon and Windows event logs in Splunk to identify attacker tactics from initial access to data exfiltration.
Famous Chollima,PREMIUM,retired,Medium,120,Endpoint Forensics,famous-chollima,"Synthesize forensic artifacts and Python source code from a disk image to reconstruct a credential theft attack, identifying persistence methods and C2 communications."
BYOD Breach,PREMIUM,retired,Medium,160,Endpoint Forensics,byod-breach,"Correlate Android and Windows forensic artifacts, including logs and malware analysis, to reconstruct a multi-stage BYOD breach from initial access to persistence."
CredSnare - Angry Likho APT,PREMIUM,retired,Medium,180,Threat Hunting,credsnare-angry-likho-apt,Correlate Splunk logs and filesystem artifacts from a workstation and domain controller to reconstruct an attack chain involving Kerberos delegation and credential theft.
NetSupport RAT - TA569,PREMIUM,retired,Medium,180,Threat Hunting,netsupport-rat-ta569,"Reconstruct a sophisticated attack timeline by analyzing Windows logs, network traffic, and disk artifacts to identify initial access, persistence, and data exfiltration using Splunk and forensic tools."
XWorm,FREE,retired,Medium,90,Malware Analysis,xworm,"Analyze malware behavior to identify persistence methods, evasion techniques, and C2 infrastructure by extracting artifacts and configuration data from static and dynamic analysis."
AzureSpray,PREMIUM,retired,Medium,120,Cloud Forensics,azurespray,"Master the detection, investigation, and remediation of password spray attacks in Azure AD by analyzing sign-in logs with KQL queries, identifying attack patterns and compromised accounts, implementing Microsoft Sentinel analytics rules for automated detection, and applying security controls including Smart Lockout, Conditional Access policies, and incident response playbooks to protect against credential-based attacks."
Job Trap - OilRig,PREMIUM,retired,Medium,160,Endpoint Forensics,job-trap-oilrig,"Analyze PowerShell and Sysmon logs to investigate macro-based malware, identify persistence via scheduled tasks, and extract C2 indicators and keylogger behavior using FTK Imager and olevba."
ResourcePacks,PREMIUM,retired,Medium,150,Endpoint Forensics,resourcepacks,"Reconstruct an attack timeline by analyzing forensic artifacts to identify a UAC bypass, WMI persistence, and backdoor user creation techniques."
WorkFromHome,PREMIUM,retired,Medium,60,Endpoint Forensics,workfromhome,"Analyze forensic artifacts to trace an attacker's progression from initial social engineering and remote access to a ""Sticky Keys"" privilege escalation."
NetX-Support - TA569,PREMIUM,retired,Medium,120,Endpoint Forensics,netx-support-ta569,"Analyze browser, filesystem, and event artifacts to reconstruct the attack chain, identify the malicious download source, extract second-stage and C2 indicators, and determine persistence, account creation, and lateral movement."
Fog Ransomware - Fluttering Scorpius,PREMIUM,retired,Medium,90,Endpoint Forensics,fog-ransomware-fluttering-scorpius,"Reconstruct the Fog ransomware attack chain by analyzing browser, registry, event logs, and MFT artifacts to identify initial access, persistence, BYOVD privilege escalation, and IOCs."
VaultBreak,PREMIUM,retired,Medium,90,Endpoint Forensics,vaultbreak,"Reconstruct a multi-stage attack by analyzing Sysmon, WMI, and Prefetch logs to identify initial infection, advanced persistence, and C2 communications."
Silent Breach,FREE,retired,Medium,30,Endpoint Forensics,silent-breach,"Analyze a forensic image to extract communication artifacts, identify malware behavior, and decrypt encrypted files using FTK Imager, string analysis, and PowerShell scripting."
MBuchus,PREMIUM,retired,Medium,45,Threat Intel,mbuchus,"Utilize OSINT, VirusTotal, and crt.sh to analyze a multi-stage malvertising campaign, identifying initial access, malware payloads, and attacker infrastructure."
Rhysida - Vice Society,PREMIUM,retired,Medium,180,Threat Hunting,rhysida-vice-society,"Reconstruct the Rhysida ransomware attack chain, identifying initial access, persistence, C2, and impact using Splunk and CyberChef."
Black Basta,PREMIUM,retired,Medium,120,Threat Hunting,black-basta,"Correlate Sysmon, Windows event logs, and PowerShell history to reconstruct a multi-stage Black Basta ransomware attack, identifying initial access, persistence, C2, exfiltration, and impact."
MinerHunt,PREMIUM,retired,Medium,90,Endpoint Forensics,minerhunt,"Correlate Windows Event Logs and Sysmon artifacts to reconstruct a SQL Server attack, identifying initial access, multiple persistence techniques, and the attacker's cryptomining objective."
LNKTrap,PREMIUM,retired,Medium,120,Threat Hunting,lnktrap,"Reconstruct a targeted cyber attack's timeline by analyzing Splunk event logs, process, and network data to identify initial access, persistence, privilege escalation, and C2."
MacLock,PREMIUM,retired,Medium,150,Endpoint Forensics,maclock,"Investigate macOS authentication artifacts, decrypt `kcpassword`, and extract secure notes from `login.keychain-db` using `Chainbreaker` to reconstruct user activity."
Beta Gamer,PREMIUM,retired,Medium,150,Endpoint Forensics,beta-gamer,"Reconstruct an intrusion timeline by analyzing event logs, registry, file system, and network artifacts to identify attacker TTPs and data exfiltration."
BRabbit,FREE,retired,Medium,90,Threat Intel,brabbit,"Reconstruct a Bad Rabbit ransomware attack chain by analyzing phishing, persistence, and MBR modification using dynamic analysis and MITRE ATT&CK."
BumbleBee - GOLD CABIN,PREMIUM,retired,Medium,240,Threat Hunting,bumblebee-gold-cabin,Correlate Windows event logs and Sysmon data across enterprise systems using ELK to reconstruct a multi-stage cyber attack from initial access to ransomware.
ELPACO-team,PREMIUM,retired,Medium,0,Endpoint Forensics,elpaco-team,"Correlate Sysmon, MFT, and application logs to reconstruct a ransomware attack timeline, identifying persistence, defense evasion, and data exfiltration TTPs."
DarkCrystal,PREMIUM,retired,Medium,60,Endpoint Forensics,darkcrystal,Reconstruct a multi-stage malware attack chain by analyzing Windows event logs with EvtxECmd and memory dumps with Volatility to identify LOLBins and C2 communications.
Andromeda Bot - UNC4210,PREMIUM,retired,Medium,60,Endpoint Forensics,andromeda-bot-unc4210,"Analyze memory images and event logs using MemProcFS, EvtxECmd, and Timeline Explorer to identify Andromeda bot IOCs, reconstruct its infection timeline, and attribute it to an APT group."
XMRig,PREMIUM,retired,Medium,90,Endpoint Forensics,xmrig,"Reconstruct attacker methods on a Linux system by analyzing a disk image, recovering deleted files with Photorec, and correlating logs, command history, and configuration files."
AndroidBreach,PREMIUM,retired,Medium,90,Endpoint Forensics,androidbreach,"Analyze an Android device dump and reverse engineer a malicious APK using ALEAPP and JADX-GUI to identify malware functionality, data exfiltration, and extract compromised credentials."
IMDSv1,PREMIUM,retired,Medium,60,Cloud Forensics,imdsv1,Analyze network traffic and AWS CloudTrail logs using Wireshark and JQ to reconstruct an IMDSv1 SSRF exploitation and subsequent data exfiltration attack.
LummaStealer - Angry Likho,PREMIUM,retired,Medium,60,Endpoint Forensics,lummastealer-angry-likho,"Analyze multi-stage malware behavior, decode obfuscated scripts, trace execution flow, and identify evasion, persistence, and exfiltration tactics using forensic tools."
MeteorHit - Indra,PREMIUM,retired,Medium,90,Endpoint Forensics,meteorhit-indra,"Reconstruct a wiper malware attack by analyzing registry, event logs, and USN journal artifacts using Registry Explorer, Event Log Explorer, and VirusTotal."
Akira - Storm-1567,PREMIUM,retired,Medium,90,Endpoint Forensics,akira-storm-1567,"Learn to investigate Akira ransomware using memory forensics to identify IOCs, analyze attacker behavior, reconstruct timelines, and uncover system compromise, defense evasion, and persistence methods."
GoldenSpray,PREMIUM,retired,Medium,120,Threat Hunting,goldenspray,"Reconstruct a multi-stage intrusion timeline by analyzing Windows and Sysmon event logs within Elastic SIEM to identify key attack tactics, techniques, and procedures."
MalaCrypt,PREMIUM,retired,Medium,60,Malware Analysis,malacrypt,"Develop skills in basic and advanced malware analysis, including static, dynamic, and code analysis, to identify, understand, and investigate malicious binaries."
RCEMiner,PREMIUM,retired,Medium,60,Network Forensics,rceminer,"Correlate network traffic, RCE exploits, and C2 communications using Wireshark to reconstruct a multi-stage web server compromise, cryptomining, and lateral movement."
Yara Wizards,PREMIUM,retired,Medium,60,Detection Engineering,yara-wizards,"Analyze malware behavior and develop YARA rules for proactive detection by identifying packing methods, entropy levels, and execution patterns."
Stealthy Ascent,PREMIUM,retired,Medium,120,Endpoint Forensics,stealthy-ascent,"Reconstruct a Linux system's unauthorized access and ransomware incident by analyzing logs, browser, and email artifacts, decrypting payloads, and identifying persistence."
ShadowRoast,PREMIUM,retired,Medium,90,Threat Hunting,shadowroast,"Investigate and analyze malicious activity in an Active Directory environment using log analysis and Splunk queries to identify initial access, persistence, lateral movement, and data exfiltration techniques."
PhishStrike,FREE,retired,Medium,60,Threat Intel,phishstrike,"Analyze email headers and threat intelligence to identify phishing indicators, malware persistence, and C2 channels, extracting actionable IOCs."
Trigona Ransomware - Water Ungaw,PREMIUM,retired,Medium,60,Endpoint Forensics,trigona-ransomware-water-ungaw,"Learn to investigate ransomware attacks by analyzing logs, registry entries, and artifacts to trace attacker actions, tools used, and identify indicators of compromise."
AgentTesla,PREMIUM,retired,Medium,60,Malware Analysis,agenttesla,"Learn to analyze and dissect Agent Tesla malware by unpacking, identifying embedded scripts, tracing data exfiltration, detecting persistence mechanisms, and understanding anti-VM evasion techniques."
IcedID 2 - GOLD CABIN,PREMIUM,retired,Medium,60,Endpoint Forensics,icedid-2-gold-cabin,"Analyze memory artifacts and trace a ransomware attack's origin, execution, and persistence using forensic tools like Volatility 3 and MemProcFS."
ATMii,PREMIUM,retired,Medium,60,Malware Analysis,atmii,"Understand and analyze ATM-targeting malware using static analysis tools, identify malicious behaviors, and trace how malware exploits legitimate APIs like XFS to manipulate ATM hardware and perform unauthorized actions."
BlueSky Ransomware,FREE,retired,Medium,60,Network Forensics,bluesky-ransomware,"Reconstruct a BlueSky ransomware attack by analyzing network traffic, decoding PowerShell scripts, and examining persistence mechanisms to identify attacker tactics and IOCs."
AsyncRAT,PREMIUM,retired,Medium,120,Malware Analysis,asyncrat,"This lab aims to equip learners with practical skills in malware analysis by dissecting a multi-stage AsyncRAT infection. Participants will explore obfuscation techniques, payload extraction, persistence mechanisms, and steganographic methods used in real-world malware, enhancing their ability to detect, analyze, and respond to complex cyber threats."
Malicious PyPi,PREMIUM,retired,Medium,60,Endpoint Forensics,malicious-pypi,"Perform forensic analysis on a compromised Windows system to identify malware, trace attacker activity, and understand persistence mechanisms."
ConfluenceRCE,PREMIUM,retired,Medium,60,Endpoint Forensics,confluencerce,"Investigate a real-world cyberattack, identify compromise indicators, trace attacker activities, and apply forensic and threat intelligence techniques."
Trickbot - WIZARD SPIDER,PREMIUM,retired,Medium,45,Threat Intel,trickbot-wizard-spider,"Develop threat intelligence skills by analyzing malware behavior, identifying attack techniques, and uncovering command-and-control infrastructure."
TheTruth,PREMIUM,retired,Medium,0,Endpoint Forensics,thetruth,"Reconstruct an Android attack timeline using forensic artifacts to identify RatMilad malware, extract its C2, and attribute a fraudulent transaction."
OpenWire,FREE,retired,Medium,90,Network Forensics,openwire,Investigate a Java deserialization vulnerability in Apache ActiveMQ that enables remote code execution through insecure class loading.
QBot,PREMIUM,retired,Medium,60,Endpoint Forensics,qbot,"Reconstruct the QBot malware infection timeline by analyzing memory dumps, identifying malicious processes, files, and network communications using Volatility3 and VirusTotal."
LockBit,PREMIUM,retired,Medium,90,Endpoint Forensics,lockbit,"Reconstruct a multi-system LockBit ransomware attack chain by correlating Windows event logs, registry artifacts, and PowerShell activity to identify TTPs."
GoogleCloudHunt,PREMIUM,retired,Medium,90,Cloud Forensics,googlecloudhunt,"Learn cloud forensics by analyzing Google Cloud logs with JQ to identify compromised accounts, data exfiltration, and attacker persistence methods in a simulated breach scenario."
EcomBreach,PREMIUM,retired,Medium,60,Endpoint Forensics,ecombreach,"Develop skills in forensic analysis, attack chain reconstruction, and threat detection following a web server compromise using Linux forensic techniques."
MSI,PREMIUM,retired,Medium,60,Malware Analysis,msi,"Analyze a malicious MSI installer by deconstructing its components, extracting embedded scripts, identifying C2 communication, and attributing the malware family."
Kerberoasted,PREMIUM,retired,Medium,60,Threat Hunting,kerberoasted,"Detect, analyze, and respond to Kerberoasting attacks by investigating Kerberos logs, identifying compromised accounts, and uncovering attacker persistence methods."
Sigma 101,PREMIUM,retired,Medium,60,Detection Engineering,sigma-101,Analyze suspicious logs to author custom Sigma rules that detect lateral movement techniques within a SIEM environment.
Yara101,PREMIUM,retired,Medium,60,Detection Engineering,yara101,"Analyze malware samples, extract IOCs, and create effective YARA rules to detect and classify threats using static analysis techniques."
RARCVE,PREMIUM,retired,Medium,60,Malware Analysis,rarcve,"Analyze, decrypt, and trace a multi-stage malware infection, uncovering obfuscation techniques, payload delivery methods, and network communication indicators."
Amadey - APT-C-36,PREMIUM,retired,Medium,30,Endpoint Forensics,amadey-apt-c-36,"Reconstruct Amadey Trojan behavior by analyzing memory dumps with Volatility3 to identify malicious processes, C2 communications, payload delivery, and persistence mechanisms."
TeleStealer,PREMIUM,retired,Medium,60,Malware Analysis,telestealer,"Analyze packed malware behavior, detect persistence mechanisms, and investigate data exfiltration through dynamic analysis, traffic interception, and reverse engineering techniques."
T1197,PREMIUM,retired,Medium,60,Threat Hunting,t1197,"Analyze Windows event logs in Splunk to identify T1197 BITS abuse, LOLBAS usage, attacker IP, and persistence mechanisms."
APT35,PREMIUM,retired,Medium,90,Malware Analysis,apt35,"Perform forensic analysis on Android devices to identify, analyze, and mitigate threats from malicious applications and cyber espionage groups like Magic Hound."
KrakenKeylogger,FREE,retired,Medium,60,Endpoint Forensics,krakenkeylogger,"Analyze Windows 10 notification artifacts, installed applications, LNK files, and Applications logs to uncover malicious activity and enhance forensic investigation capabilities."
T1547,PREMIUM,retired,Medium,60,Malware Analysis,t1547,"Investigate fileless malware by analyzing registry artifacts, decrypting in-memory payloads, and identifying malware families using forensic tools and reverse engineering techniques."
S3CredentialsHunt,PREMIUM,retired,Medium,90,Cloud Forensics,s3credentialshunt,"Analyze AWS CloudTrail logs with `jq` to reconstruct attacker TTPs, identify privilege escalation, and detect persistence mechanisms within a compromised cloud environment."
FalconEye,PREMIUM,retired,Medium,60,Threat Hunting,falconeye,"Learn to use Splunk for detecting, analyzing, and investigating cybersecurity threats through log analysis, threat hunting, privilege escalation, lateral movement, and advanced attack techniques."
AzurePot,FREE,retired,Medium,60,Endpoint Forensics,azurepot,"Understand real-world Linux compromise via CVE-2021-41773 by analyzing disk, memory, and system artifacts to identify attacker techniques, persistence methods, and IOCs."
Sysinternals,FREE,retired,Medium,60,Endpoint Forensics,sysinternals,"Conduct endpoint forensic analysis to detect, analyze, and understand malware infections using disk images, registry artifacts, and threat intelligence."
BlackEnergy,FREE,retired,Medium,60,Endpoint Forensics,blackenergy,"Develop practical skills in Windows memory forensics using Volatility by detecting malware indicators, analyzing suspicious processes, and identifying code injection and unauthorized DLLs in a compromised system."
Eli,FREE,retired,Medium,60,Endpoint Forensics,eli,"Learn to perform Chromebook forensic analysis using tools like DB Browser and Notepad++, focusing on user artifacts, browser data, downloads, and Google Takeout for digital investigations."
